[2026-04-29T13:14:38.829636] seq_id=45, LNA=1, Filter=0, Center=1, Mixer=0.323dBm, IFAmp=16.549dB, EVM=97.567%, Status=0
[2026-04-29T13:14:39.009626] seq_id=46, LNA=1, Filter=0, Center=1, Mixer=0.374dBm, IFAmp=16.460dB, EVM=97.609%, Status=0
[2026-04-29T13:14:39.193323] seq_id=47, LNA=1, Filter=2, Center=1, Mixer=0.479dBm, IFAmp=16.919dB, EVM=97.575%, Status=0
[2026-04-29T13:14:39.376450] seq_id=48, LNA=1, Filter=2, Center=1, Mixer=0.482dBm, IFAmp=16.870dB, EVM=97.586%, Status=0
[2026-04-29T13:14:39.505644] seq_id=49, LNA=1, Filter=2, Center=1, Mixer=0.481dBm, IFAmp=16.876dB, EVM=97.561%, Status=0
[2026-04-29T13:14:39.687144] seq_id=50, LNA=1, Filter=2, Center=1, Mixer=0.473dBm, IFAmp=16.864dB, EVM=97.584%, Status=0
[2026-04-29T13:14:39.814794] seq_id=51, LNA=1, Filter=2, Center=1, Mixer=0.463dBm, IFAmp=16.975dB, EVM=97.569%, Status=0
[2026-04-29T13:14:39.938613] seq_id=52, LNA=1, Filter=2, Center=1, Mixer=0.473dBm, IFAmp=16.879dB, EVM=97.546%, Status=0
[2026-04-29T13:14:40.074392] seq_id=53, LNA=1, Filter=2, Center=1, Mixer=0.480dBm, IFAmp=16.849dB, EVM=97.587%, Status=0
[2026-04-29T13:14:40.200603] seq_id=54, LNA=1, Filter=2, Center=1, Mixer=0.480dBm, IFAmp=16.899dB, EVM=97.577%, Status=0
[2026-04-29T13:14:40.325895] seq_id=55, LNA=1, Filter=2, Center=1, Mixer=0.477dBm, IFAmp=16.831dB, EVM=97.558%, Status=0
[2026-04-29T13:14:40.492621] seq_id=56, LNA=1, Filter=2, Center=1, Mixer=0.492dBm, IFAmp=16.829dB, EVM=97.567%, Status=0
[2026-04-29T13:14:40.645775] seq_id=57, LNA=1, Filter=2, Center=1, Mixer=0.492dBm, IFAmp=16.900dB, EVM=97.559%, Status=0
[2026-04-29T13:14:40.774566] seq_id=58, LNA=1, Filter=2, Center=1, Mixer=0.480dBm, IFAmp=16.849dB, EVM=97.558%, Status=0
